id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,jenis_wisatawan,jumlah_wisatawan,satuan,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,DOMESTIK,8175221,ORANG,2019
2,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,252842,ORANG,2019
3,32,JAWA BARAT,3273,KOTA BANDUNG,DOMESTIK,3229090,ORANG,2020
4,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,3021,ORANG,2020
5,32,JAWA BARAT,3273,KOTA BANDUNG,DOMESTIK,4973649,ORANG,2021
6,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,33961,ORANG,2021
7,32,JAWA BARAT,3273,KOTA BANDUNG,DOMESTIK,6546960,ORANG,2022
8,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,37285,ORANG,2022
9,32,JAWA BARAT,3273,KOTA BANDUNG,DOMESTIK,7713937,ORANG,2023
10,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,38570,ORANG,2023
11,32,JAWA BARAT,3273,KOTA BANDUNG,DOMESTIK,8554688,ORANG,2024
12,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,43629,ORANG,2024
